"source_path","classification","reason","license","internal_target","sha256"
".DS_Store","IGNORE","Phase 0~2의 제품 계약에 필요하지 않음","MIT","none","cd71bafe6f6dbd7a49ef147654a873b03368ce5d5e22b63965417975cd3398ec"
"application/playground/.dockerignore","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","b51b6b31ea66eb80214b1b8dded233bb48334b7040619e86265a4ddfc0f2e33a"
"application/playground/.env.local.example","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","ab66332d531135fbb546b80decab8899c99d5384e5e50a716449cf221c2421be"
"application/playground/backend/__init__.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","27f937027b663c7f92f9c6e69d7123ee66101f4247ee5db639044fe4a3b643fb"
"application/playground/backend/api/__init__.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","dbc00c1d50781878e655f1b762bbd4f30c6225e54c8188acae50b6b223ab2955"
"application/playground/backend/api/app.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","5c4aebe7e522554ceb50111fee0af74ab1ce3860080961b89fcb968ae55c4f6a"
"application/playground/backend/api/deps.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","cd7c2b3d0a143ba6ac8fec76fa78cf51ca0785de0a9ae73a3d8f546c484593ea"
"application/playground/backend/api/schemas.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","6e433c22a01029d79c9522655c742342d05d46fe36b6f091fcd4b5af490703a4"
"application/playground/backend/DESIGN_REFERENCE.html","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","78c83418c3a94a2432c404dc75f071d2c560df50e1b213a0d33ce658b8745cc3"
"application/playground/backend/requirements.txt","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","08527bf84ead5ddecf38087ca771c5984d0eb362df54552b3783086d51e71587"
"application/playground/backend/run_dev.sh","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","978f20a6e9d6fe10bf8cb260fe791bb417c8d75e180808dff2080c9d2fc85a3a"
"application/playground/backend/run_real.sh","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","37bf62ae317395367ea64ec43aad478ac53fddd283c860d483e9cb6cfdf17634"
"application/playground/backend/service/__init__.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","cf46d5d58e262ca3a23eab46bce366ac21a7d8aa6b4942c1f2cd0675a1e0fc05"
"application/playground/backend/service/application_task_index.py","IGNORE","기존 UI와 Playground runtime은 초기 범위 밖","MIT","none","88f2f12869b48999d1b445f63631934a48a182ac1d3cb68819f065299bd98665"
